"结果  :  新查询"
"保存时间:11/20/2020 12:34:27"

"用户名:ly_wy_zuoxiaolin"

"总共 7,456    条"

"开始时间","周期（分钟）","网元名称","小区","小区PDCP层所发送的下行数据的总吞吐量 (比特)","小区PDCP层所接收到的上行数据的总吞吐量 (比特)","小区内的最大用户数 (无)","小区内的平均用户数 (无)","RRC连接请求次数（包括重发） (无)","RRC连接建立完成次数 (无)","E-RAB建立尝试总次数 (无)","E-RAB建立成功总次数 (无)","eNodeB发起的S1 RESET导致的UE Context释放次数 (无)","UE Context异常释放次数 (无)","eNodeB等待初始上下文建立请求超时触发的UE Context释放次数 (无)","UE Context建立成功总次数 (无)","小区遗留UE Context个数 (无)","eNodeB间同频切换出成功次数 (无)","eNodeB间异频切换出成功次数 (无)","eNodeB内同频切换出成功次数 (无)","eNodeB内异频切换出成功次数 (无)","eNodeB间同频切换出尝试次数 (无)","eNodeB间异频切换出尝试次数 (无)","eNodeB内同频切换出执行次数 (无)","eNodeB内异频切换出执行次数 (无)","通过重建回源小区的eNodeB内异频切换出执行成功次数 (无)","通过重建回源小区的eNodeB内同频切换出执行成功次数 (无)","通过重建回源小区的eNodeB间异频切换出执行成功次数 (无)","通过重建回源小区的eNodeB间同频切换出执行成功次数 (无)","PRB利用率下行 (无)","PRB利用率上行 (无)","上行PUSCH的Physical Resource Block被使用的平均个数 (无)","上行可用的PRB个数 (无)","下行Physical Resource Block被使用的平均个数 (无)","下行可用的PRB个数 (无)","QCI为1的业务E-RAB建立尝试次数 (无)","QCI为1的业务E-RAB建立成功次数 (无)","eNodeB触发的QCI为1的业务E-RAB异常释放次数 (无)","切换出QCI为1的E-RAB异常释放次数 (无)","QCI为1的遗留E-RAB个数 (无)","QCI为1的切换入E-RAB成功建立次数 (无)","eNodeB发起的S1 RESET导致的QCI为1的E-RAB异常释放次数 (无)","资源分配失败而导致RRC连接建立失败次数 (无)"
11/20/2020 12:00:00,15,"洛阳嵩县大众驾校F-HLH","eNodeB名称=洛阳嵩县大众驾校F-HLH, 本地小区标识=13, 小区名称=洛阳嵩县大众驾校A-HLH-2, eNodeB标识=273798, 小区双工模式=CELL_TDD, 小区标识=187",7976676976,344300064,48,34.154,1492,1492,2567,2567,0,0,0,1369,41,25,147,18,136,25,148,18,136,0,0,0,0,0.353,0.21,15.736,75,26.442,75,30,30,0,0,1,8,0,0
11/20/2020 12:00:00,15,"洛阳栾川石龙沟F-HLH","eNodeB名称=洛阳栾川石龙沟F-HLH, 本地小区标识=15, 小区名称=洛阳栾川石龙沟D-HLH-8, eNodeB标识=254406, 小区双工模式=CELL_TDD, 小区标识=15",192372400,7945184,4,0.514,23,23,34,34,0,0,0,23,0,1,3,0,20,1,3,0,20,0,0,0,0,0.015,0.003,0.266,100,1.466,100,1,1,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳栾川常门F-HLH","eNodeB名称=洛阳栾川常门F-HLH, 本地小区标识=0, 小区名称=洛阳栾川常门F-HLH-1, eNodeB标识=11183, 小区双工模式=CELL_TDD, 小区标识=128",3162443176,90982728,26,16.106,669,669,1139,1139,0,0,0,649,13,157,0,20,0,157,0,20,0,0,0,0,0,0.193,0.057,5.739,100,19.313,100,23,23,0,0,1,14,0,0
11/20/2020 12:00:00,15,"洛阳栾川潭头街F-HLH","eNodeB名称=洛阳栾川潭头街F-HLH, 本地小区标识=2, 小区名称=洛阳栾川潭头街F-HLH-3, eNodeB标识=246731, 小区双工模式=CELL_TDD, 小区标识=2",6315868296,556280088,48,28.529,513,513,831,831,0,0,0,493,16,62,253,40,2588,62,253,40,2588,1,0,0,0,0.277,0.161,16.078,100,27.657,100,11,11,0,0,0,17,0,0
11/20/2020 12:00:00,15,"洛阳嵩县九店九皋F-HLH","eNodeB名称=洛阳嵩县九店九皋F-HLH, 本地小区标识=2, 小区名称=洛阳嵩县九店九皋F-HLH-3, eNodeB标识=102741, 小区双工模式=CELL_TDD, 小区标识=66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0.003,100,1.294,100,0,0,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳涧西侯城村西南GTFDD1800-HLH","eNodeB名称=洛阳涧西侯城村西南GTFDD1800-HLH, 本地小区标识=0, 小区名称=洛阳涧西侯城村西南（高铁）GTFDD1800-HLH-1, eNodeB标识=108820, 小区双工模式=CELL_FDD, 小区标识=64",2348010960,274224968,87,19.086,1564,1553,2255,2255,0,1,0,1301,28,211,0,0,0,222,0,0,0,0,0,0,3,0.17,0.047,18.713,400,67.884,400,17,17,0,0,1,2,0,0
11/20/2020 12:00:00,15,"洛阳宜阳盐镇大寨北GTFDD1800-HLH","eNodeB名称=洛阳宜阳盐镇大寨北GTFDD1800-HLH, 本地小区标识=0, 小区名称=洛阳宜阳盐镇大寨北（高铁）GTFDD1800-HLH-1, eNodeB标识=108839, 小区双工模式=CELL_FDD, 小区标识=64",2388870152,155738472,136,16.645,1289,1287,1801,1801,0,2,0,1029,16,255,0,0,0,259,0,0,0,0,0,0,0,0.089,0.023,9.193,400,35.416,400,22,22,0,0,1,10,0,0
11/20/2020 12:00:00,15,"洛阳嵩县栗盘F-HLH","eNodeB名称=洛阳嵩县栗盘F-HLH, 本地小区标识=1, 小区名称=洛阳嵩县栗盘F-HLH-2, eNodeB标识=273466, 小区双工模式=CELL_TDD, 小区标识=129",570255744,27095560,16,5.722,290,290,473,473,0,0,0,266,2,80,0,7,0,80,0,7,0,0,0,0,0,0.049,0.014,1.404,100,4.865,100,3,3,0,0,0,5,0,0
11/20/2020 12:00:00,15,"洛阳嵩县邮政局D-HLH","eNodeB名称=洛阳嵩县邮政局D-HLH, 本地小区标识=6, 小区名称=洛阳嵩县邮政局F-HLH-1, eNodeB标识=236462, 小区双工模式=CELL_TDD, 小区标识=6",5237183944,459003552,47,28.09,250,250,431,431,0,0,0,240,26,71,243,20,0,72,243,20,0,0,0,0,0,0.209,0.221,22.081,100,20.931,100,18,18,0,0,0,22,0,0
11/20/2020 12:00:00,15,"洛阳栾川农行F-HLH","eNodeB名称=洛阳栾川农行F-HLH, 本地小区标识=1, 小区名称=洛阳栾川农行F-HLH-2, eNodeB标识=245780, 小区双工模式=CELL_TDD, 小区标识=1",1976026672,89436760,24,13.217,255,255,387,387,0,0,0,250,16,60,5,1,0,61,5,1,0,0,0,0,0,0.104,0.074,7.351,100,10.415,100,8,8,0,0,1,2,0,0
11/20/2020 12:00:00,15,"洛阳嵩县安沟F-HLH","eNodeB名称=洛阳嵩县安沟F-HLH, 本地小区标识=0, 小区名称=洛阳嵩县安沟F-HLH-1, eNodeB标识=745497, 小区双工模式=CELL_TDD, 小区标识=128",134095576,13435776,5,1.852,90,90,138,138,0,0,0,87,2,37,0,2,0,37,0,2,0,0,0,0,0,0.024,0.006,0.557,100,2.444,100,3,3,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳嵩县中医院NB900-HLH","eNodeB名称=洛阳嵩县中医院NB900-HLH, 本地小区标识=13, 小区名称=洛阳嵩县中医院FDD1800-HLH-2, eNodeB标识=741807, 小区双工模式=CELL_FDD, 小区标识=77",7998162896,1246684520,52,32.529,361,361,680,680,0,0,0,351,26,334,1,77,0,334,1,77,0,0,0,0,0,0.421,0.097,9.656,100,42.108,100,19,19,0,0,1,89,0,0
11/20/2020 12:00:00,15,"洛阳栾川方村F-HLH","eNodeB名称=洛阳栾川方村F-HLH, 本地小区标识=3, 小区名称=洛阳栾川宏发选厂F-HLH-1, eNodeB标识=273754, 小区双工模式=CELL_TDD, 小区标识=131",1387481272,68296504,15,8.376,283,283,499,499,0,0,0,257,13,17,20,1,0,17,22,1,0,0,0,13,0,0.069,0.047,4.705,100,6.935,100,7,7,0,0,0,2,0,0
11/20/2020 12:00:00,15,"洛阳栾川老君堂F-HLH","eNodeB名称=洛阳栾川老君堂F-HLH, 本地小区标识=12, 小区名称=洛阳栾川老君堂-HEHH-1, eNodeB标识=102705, 小区双工模式=CELL_FDD, 小区标识=76",3462275680,301440760,35,21.099,585,585,1038,1038,0,1,0,581,16,174,1,34,0,177,1,34,0,0,0,0,0,0.147,0.043,4.324,100,14.72,100,9,9,0,0,0,18,0,0
11/20/2020 12:00:00,15,"洛阳嵩县上瑶bF-HLH","eNodeB名称=洛阳嵩县上瑶bF-HLH, 本地小区标识=5, 小区名称=洛阳嵩县上瑶bA-HLH-3, eNodeB标识=11112, 小区双工模式=CELL_TDD, 小区标识=133",9392042488,628018408,50,33.236,1434,1434,2240,2240,0,2,0,1220,36,119,106,31,9,119,106,31,9,0,0,0,0,0.342,0.225,16.895,75,25.63,75,20,20,0,0,1,2,0,0
11/20/2020 12:00:00,15,"洛阳孟津麻屯郑通路NB900-HLH","eNodeB名称=洛阳孟津麻屯郑通路NB900-HLH, 本地小区标识=14, 小区名称=洛阳孟津麻屯郑通路-HFHH-3, eNodeB标识=114757, 小区双工模式=CELL_FDD, 小区标识=78",6153868904,1025946496,28,17.513,435,435,703,703,0,0,0,369,19,79,28,3,0,79,29,3,0,0,0,0,0,0.559,0.151,7.548,50,27.95,50,7,7,0,0,1,11,0,0
11/20/2020 12:00:00,15,"洛阳栾川常门F-HLH","eNodeB名称=洛阳栾川常门F-HLH, 本地小区标识=1, 小区名称=洛阳栾川常门F-HLH-2, eNodeB标识=11183, 小区双工模式=CELL_TDD, 小区标识=129",6509552640,582328544,34,24.656,746,745,1259,1259,0,0,0,735,29,123,0,79,0,124,0,79,0,0,0,0,0,0.293,0.158,15.807,100,29.347,100,23,23,0,0,3,10,0,0
11/20/2020 12:00:00,15,"洛阳栾川潭头街F-HLH","eNodeB名称=洛阳栾川潭头街F-HLH, 本地小区标识=12, 小区名称=洛阳栾川潭头街FDD1800-HLH-1, eNodeB标识=246731, 小区双工模式=CELL_FDD, 小区标识=12",5216287760,258520384,39,26.183,777,776,1355,1355,0,0,0,753,25,35,2,25,0,35,2,25,0,0,0,0,0,0.155,0.075,7.544,100,15.521,100,27,27,0,0,6,74,0,0
11/20/2020 12:00:00,15,"洛阳嵩县九店宋王坪F-HLH","eNodeB名称=洛阳嵩县九店宋王坪F-HLH, 本地小区标识=0, 小区名称=洛阳嵩县九店宋王坪F-HLH-1, eNodeB标识=102402, 小区双工模式=CELL_TDD, 小区标识=64",114020624,14139392,6,2.777,112,112,218,218,0,0,0,111,2,1,0,47,0,1,0,47,0,0,0,0,0,0.024,0.008,0.777,100,2.354,100,2,2,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳宜阳罗村北GTF-HLH","eNodeB名称=洛阳宜阳罗村北GTF-HLH, 本地小区标识=0, 小区名称=洛阳宜阳罗村北（高铁）GTF-HLH-1, eNodeB标识=236086, 小区双工模式=CELL_TDD, 小区标识=0",1496688704,42762072,60,3.863,432,429,584,584,0,0,0,364,1,143,0,0,1,148,0,0,1,0,0,0,0,0.059,0.029,2.912,100,5.937,100,1,1,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳嵩县邮政局D-HLH","eNodeB名称=洛阳嵩县邮政局D-HLH, 本地小区标识=7, 小区名称=洛阳嵩县邮政局F-HLH-2, eNodeB标识=236462, 小区双工模式=CELL_TDD, 小区标识=7",12562012456,1137948072,59,44.176,568,568,924,924,0,2,0,550,33,103,505,55,0,103,505,55,0,0,0,1,0,0.625,0.368,36.794,100,62.498,100,15,15,0,0,1,27,0,0
11/20/2020 12:00:00,15,"洛阳栾川农行F-HLH","eNodeB名称=洛阳栾川农行F-HLH, 本地小区标识=2, 小区名称=洛阳栾川农行F-HLH-3, eNodeB标识=245780, 小区双工模式=CELL_TDD, 小区标识=2",434726296,50035896,16,8.454,118,117,181,181,0,0,0,114,4,35,1,10,0,35,1,10,0,0,0,0,0,0.049,0.024,2.392,100,4.873,100,3,3,0,0,0,3,0,0
11/20/2020 12:00:00,15,"洛阳嵩县蛮峪F-HLH","eNodeB名称=洛阳嵩县蛮峪F-HLH, 本地小区标识=26, 小区名称=洛阳嵩县蛮峪FDD900-HLH-3, eNodeB标识=11101, 小区双工模式=CELL_FDD, 小区标识=190",1840840056,57492976,10,5.346,140,140,258,258,0,0,0,137,5,0,0,5,0,0,0,5,0,0,0,0,0,0.091,0.041,2.061,50,4.534,50,5,5,0,0,0,1,0,0
11/20/2020 12:00:00,15,"洛阳栾川地质公园F-HLH","eNodeB名称=洛阳栾川地质公园F-HLH, 本地小区标识=26, 小区名称=洛阳栾川地质公园FDD1800-HLH-3, eNodeB标识=245774, 小区双工模式=CELL_FDD, 小区标识=62",7591116544,847521448,70,42.488,951,951,1833,1833,0,0,0,943,38,209,6,60,0,209,6,60,0,0,0,0,0,0.364,0.123,12.293,100,36.367,100,82,82,0,0,2,37,0,0
